tid,cat,name,pid,dur,External id,ts,ph
7,gpu_user_annotation,Optimizer.step#SGD.step,0,1314.304,22535,6939565773132.66,X
7,gpu_user_annotation,ProfilerStep#0,0,1.474,22529,6939565712147.096,X
