ts,tid,pid,cat,ph,bp,name,id
6928969389220.027,4097251,4097061,ac2g,f,e,ac2g,4384
6928969389225.233,4097251,4097061,ac2g,f,e,ac2g,4385
6928969389229.257,4097251,4097061,ac2g,f,e,ac2g,4386
6928969389233.62,4097251,4097061,ac2g,f,e,ac2g,4387
6928969389238.027,4097251,4097061,ac2g,f,e,ac2g,4388
6928969389242.249,4097251,4097061,ac2g,f,e,ac2g,4389
6928969389246.001,4097251,4097061,ac2g,f,e,ac2g,4390
6928969389250.01,4097251,4097061,ac2g,f,e,ac2g,4391
6928969389253.796,4097251,4097061,ac2g,f,e,ac2g,4392
6928969389257.332,4097251,4097061,ac2g,f,e,ac2g,4393
6928969389260.839,4097251,4097061,ac2g,f,e,ac2g,4394
6928969389316.885,4097251,4097061,ac2g,f,e,ac2g,4395
6928969389657.7,4097251,4097061,ac2g,f,e,ac2g,4396
6928969389941.908,4097251,4097061,ac2g,f,e,ac2g,4397
6928969390251.126,4097251,4097061,ac2g,f,e,ac2g,4398
6928969390650.886,4097251,4097061,ac2g,f,e,ac2g,4399
6928969390936.27,4097251,4097061,ac2g,f,e,ac2g,4400
6928969391234.238,4097251,4097061,ac2g,f,e,ac2g,4401
6928969391514.967,4097251,4097061,ac2g,f,e,ac2g,4402
6928969391762.485,4097251,4097061,ac2g,f,e,ac2g,4403
6928969392009.5,4097251,4097061,ac2g,f,e,ac2g,4404
6928969392247.885,4097251,4097061,ac2g,f,e,ac2g,4405
6928969392543.096,4097251,4097061,ac2g,f,e,ac2g,4406
6928969392868.148,4097251,4097061,ac2g,f,e,ac2g,4407
6928969392873.386,4097251,4097061,ac2g,f,e,ac2g,4408
6928969392877.829,4097251,4097061,ac2g,f,e,ac2g,4409
6928969392882.379,4097251,4097061,ac2g,f,e,ac2g,4410
6928969392886.614,4097251,4097061,ac2g,f,e,ac2g,4411
6928969392890.65,4097251,4097061,ac2g,f,e,ac2g,4412
6928969392894.597,4097251,4097061,ac2g,f,e,ac2g,4413
6928969392898.783,4097251,4097061,ac2g,f,e,ac2g,4414
6928969392903.154,4097251,4097061,ac2g,f,e,ac2g,4415
6928969392907.633,4097251,4097061,ac2g,f,e,ac2g,4416
6928969392911.934,4097251,4097061,ac2g,f,e,ac2g,4417
6928969392916.605,4097251,4097061,ac2g,f,e,ac2g,4418
