Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
25,4097251,cpu_op,0,"[""float"", ""ScalarList"", ""Scalar"", """"]",aten::sum,4097061,83.583,1050,"["""", ""[0]"", ""True"", """"]",,"[[0, 0], [], [], []]","[[5, 1000], [], [], []]",6928969344922.255,,X
26,4097251,cpu_op,0,"[""float"", ""ScalarList""]",aten::view,4097061,7.224,1051,"["""", ""[1000]""]",,"[[1000, 1], []]","[[1, 1000], []]",6928969345010.34,,X
27,4097251,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,4097061,36.772,1052,,,,,6928969345108.082,,X
28,4097251,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,4097061,24.828,1053,"[""""]",,[[1]],[[1000]],6928969345114.395,,X
29,4097251,cpu_op,0,"[""float""]",aten::detach,4097061,12.94,1054,"[""""]",,[[1]],[[1000]],6928969345124.902,,X
30,4097251,cpu_op,0,"[""float""]",detach,4097061,8.684,1055,"[""""]",,[[1]],[[1000]],6928969345128.781,,X
31,4097251,cpu_op,0,,autograd::engine::evaluate_function: TBackward0,4097061,20.82,1056,,208,,,6928969345154.154,1,X
32,4097251,cpu_op,0,"[""float""]",TBackward0,4097061,13.548,1057,"[""""]",208,"[[1, 512]]","[[512, 1000]]",6928969345157.115,1,X
33,4097251,cpu_op,0,"[""float""]",aten::t,4097061,9.984,1058,"[""""]",,"[[1, 512]]","[[512, 1000]]",6928969345160.072,,X
34,4097251,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,4097061,5.373,1059,"["""", ""0"", ""1""]",,"[[1, 512], [], []]","[[512, 1000], [], []]",6928969345162.662,,X
35,4097251,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,4097061,1.395,1060,"["""", ""[1000, 512]"", ""[512, 1]"", """"]",,"[[1, 512], [], [], []]","[[512, 1000], [], [], []]",6928969345166.054,,X
36,4097251,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,4097061,12.08,1061,,,,,6928969345183.535,,X
37,4097251,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,4097061,5.373,1062,"[""""]",,"[[512, 1]]","[[1000, 512]]",6928969345187.676,,X
38,4097251,cpu_op,0,"[""float""]",aten::detach,4097061,3.023,1063,"[""""]",,"[[512, 1]]","[[1000, 512]]",6928969345189.492,,X
39,4097251,cpu_op,0,"[""float""]",detach,4097061,1.44,1064,"[""""]",,"[[512, 1]]","[[1000, 512]]",6928969345190.713,,X
40,4097251,cpu_op,0,,autograd::engine::evaluate_function: ViewBackward0,4097061,19.626,1065,,207,,,6928969345203.28,1,X
41,4097251,cpu_op,0,"[""float""]",ViewBackward0,4097061,12.822,1066,"[""""]",207,"[[512, 1]]","[[5, 512]]",6928969345206.359,1,X
42,4097251,cpu_op,0,"[""float"", ""ScalarList""]",aten::reshape,4097061,5.913,1067,"["""", ""[5, 512, 1, 1]""]",,"[[512, 1], []]","[[5, 512], []]",6928969345212.848,,X
