tid,cat,id,name,pid,bp,ts,ph
122891,ac2g,50690,ac2g,122891,,6939565300091.384,s
122891,ac2g,50719,ac2g,122891,e,6939565300354.197,f
122891,ac2g,50724,ac2g,122891,e,6939565300361.026,f
122891,ac2g,50728,ac2g,122891,e,6939565300364.427,f
7,ac2g,50743,ac2g,0,e,6939565300425.813,f
122891,ac2g,50743,ac2g,122891,,6939565300412.603,s
122891,ac2g,50766,ac2g,122891,e,6939565300547.221,f
7,ac2g,50767,ac2g,0,e,6939565300563.348,f
122891,ac2g,50767,ac2g,122891,,6939565300551.137,s
7,ac2g,50769,ac2g,0,e,6939565300575.924,f
122891,ac2g,50769,ac2g,122891,,6939565300563.812,s
122891,ac2g,50794,ac2g,122891,e,6939565300698.613,f
122891,ac2g,50798,ac2g,122891,e,6939565300703.021,f
7,ac2g,50800,ac2g,0,e,6939565300724.724,f
122891,ac2g,50800,ac2g,122891,,6939565300711.792,s
7,ac2g,50810,ac2g,0,e,6939565300775.348,f
122891,ac2g,50810,ac2g,122891,,6939565300763.827,s
7,ac2g,50839,ac2g,0,e,6939565300895.827,f
122891,ac2g,50839,ac2g,122891,,6939565300883.928,s
122891,ac2g,50858,ac2g,122891,e,6939565301027.287,f
7,ac2g,50859,ac2g,0,e,6939565301043.571,f
122891,ac2g,50859,ac2g,122891,,6939565301031.073,s
7,ac2g,50870,ac2g,0,e,6939565301106.419,f
122891,ac2g,50870,ac2g,122891,,6939565301094.142,s
122891,ac2g,50897,ac2g,122891,e,6939565301195.896,f
122891,ac2g,50901,ac2g,122891,e,6939565301199.884,f
7,ac2g,50903,ac2g,0,e,6939565301220.467,f
122891,ac2g,50903,ac2g,122891,,6939565301207.266,s
7,ac2g,50922,ac2g,0,e,6939565301336.051,f
122891,ac2g,50922,ac2g,122891,,6939565301323.771,s
7,ac2g,50924,ac2g,0,e,6939565301353.971,f
122891,ac2g,50924,ac2g,122891,,6939565301336.892,s
122891,ac2g,50949,ac2g,122891,e,6939565301437.844,f
122891,ac2g,50953,ac2g,122891,e,6939565301442.916,f
7,ac2g,50955,ac2g,0,e,6939565301460.787,f
122891,ac2g,50955,ac2g,122891,,6939565301449.006,s
7,ac2g,50965,ac2g,0,e,6939565301502.995,f
122891,ac2g,50965,ac2g,122891,,6939565301493.002,s
7,ac2g,50994,ac2g,0,e,6939565301627.859,f
122891,ac2g,50994,ac2g,122891,,6939565301615.362,s
122891,ac2g,51013,ac2g,122891,e,6939565301865.301,f
7,ac2g,51014,ac2g,0,e,6939565301884.306,f
122891,ac2g,51014,ac2g,122891,,6939565301870.501,s
7,ac2g,51016,ac2g,0,e,6939565301900.466,f
122891,ac2g,51016,ac2g,122891,,6939565301885.388,s
7,ac2g,51030,ac2g,0,e,6939565302060.818,f
122891,ac2g,51030,ac2g,122891,,6939565302047.288,s
122891,ac2g,51059,ac2g,122891,e,6939565302310.357,f
122891,ac2g,51064,ac2g,122891,e,6939565302316.583,f
122891,ac2g,51068,ac2g,122891,e,6939565302320.067,f
7,ac2g,51083,ac2g,0,e,6939565302380.593,f
122891,ac2g,51083,ac2g,122891,,6939565302366.902,s
122891,ac2g,51106,ac2g,122891,e,6939565302502.085,f
7,ac2g,51107,ac2g,0,e,6939565302519.345,f
122891,ac2g,51107,ac2g,122891,,6939565302505.903,s
7,ac2g,51109,ac2g,0,e,6939565302531.473,f
122891,ac2g,51109,ac2g,122891,,6939565302520.263,s
122891,ac2g,51134,ac2g,122891,e,6939565302655.353,f
122891,ac2g,51138,ac2g,122891,e,6939565302659.516,f
7,ac2g,51140,ac2g,0,e,6939565302681.617,f
122891,ac2g,51140,ac2g,122891,,6939565302668.695,s
7,ac2g,51150,ac2g,0,e,6939565302734.193,f
122891,ac2g,51150,ac2g,122891,,6939565302722.525,s
7,ac2g,51179,ac2g,0,e,6939565302850.801,f
122891,ac2g,51179,ac2g,122891,,6939565302837.931,s
122891,ac2g,51198,ac2g,122891,e,6939565302978.298,f
7,ac2g,51199,ac2g,0,e,6939565302994.16,f
122891,ac2g,51199,ac2g,122891,,6939565302982.251,s
7,ac2g,51210,ac2g,0,e,6939565303056.528,f
122891,ac2g,51210,ac2g,122891,,6939565303045.154,s
122891,ac2g,51237,ac2g,122891,e,6939565303145.318,f
122891,ac2g,51241,ac2g,122891,e,6939565303149.458,f
7,ac2g,51243,ac2g,0,e,6939565303169.072,f
122891,ac2g,51243,ac2g,122891,,6939565303156.909,s
7,ac2g,51262,ac2g,0,e,6939565303287.024,f
122891,ac2g,51262,ac2g,122891,,6939565303273.27,s
7,ac2g,51264,ac2g,0,e,6939565303305.136,f
122891,ac2g,51264,ac2g,122891,,6939565303287.524,s
122891,ac2g,51289,ac2g,122891,e,6939565303390.871,f
122891,ac2g,51293,ac2g,122891,e,6939565303395.64,f
7,ac2g,51295,ac2g,0,e,6939565303414.448,f
122891,ac2g,51295,ac2g,122891,,6939565303401.734,s
7,ac2g,51305,ac2g,0,e,6939565303457.936,f
122891,ac2g,51305,ac2g,122891,,6939565303447.6,s
7,ac2g,51334,ac2g,0,e,6939565303574.959,f
122891,ac2g,51334,ac2g,122891,,6939565303562.759,s
122891,ac2g,51353,ac2g,122891,e,6939565303787.654,f
7,ac2g,51354,ac2g,0,e,6939565303806.063,f
122891,ac2g,51354,ac2g,122891,,6939565303793.509,s
7,ac2g,51356,ac2g,0,e,6939565303821.615,f
122891,ac2g,51356,ac2g,122891,,6939565303807.393,s
7,ac2g,51370,ac2g,0,e,6939565304067.054,f
122891,ac2g,51370,ac2g,122891,,6939565304052.191,s
122891,ac2g,51399,ac2g,122891,e,6939565304309.907,f
122891,ac2g,51404,ac2g,122891,e,6939565304316.379,f
122891,ac2g,51408,ac2g,122891,e,6939565304319.89,f
7,ac2g,51423,ac2g,0,e,6939565304382.094,f
122891,ac2g,51423,ac2g,122891,,6939565304367.732,s
122891,ac2g,51446,ac2g,122891,e,6939565304501.456,f
7,ac2g,51447,ac2g,0,e,6939565304518.35,f
122891,ac2g,51447,ac2g,122891,,6939565304505.338,s
7,ac2g,51449,ac2g,0,e,6939565304530.702,f
122891,ac2g,51449,ac2g,122891,,6939565304518.921,s
122891,ac2g,51474,ac2g,122891,e,6939565304670.428,f
122891,ac2g,51478,ac2g,122891,e,6939565304674.895,f
7,ac2g,51480,ac2g,0,e,6939565304698.03,f
122891,ac2g,51480,ac2g,122891,,6939565304684.15,s
7,ac2g,51490,ac2g,0,e,6939565304751.598,f
122891,ac2g,51490,ac2g,122891,,6939565304739.601,s
7,ac2g,51519,ac2g,0,e,6939565304872.846,f
122891,ac2g,51519,ac2g,122891,,6939565304860.451,s
122891,ac2g,51538,ac2g,122891,e,6939565305004.283,f
7,ac2g,51539,ac2g,0,e,6939565305021.197,f
122891,ac2g,51539,ac2g,122891,,6939565305008.537,s
7,ac2g,51550,ac2g,0,e,6939565305084.141,f
122891,ac2g,51550,ac2g,122891,,6939565305072.709,s
122891,ac2g,51577,ac2g,122891,e,6939565305171.944,f
122891,ac2g,51581,ac2g,122891,e,6939565305176.486,f
7,ac2g,51583,ac2g,0,e,6939565305196.621,f
122891,ac2g,51583,ac2g,122891,,6939565305184.809,s
7,ac2g,51602,ac2g,0,e,6939565305316.845,f
122891,ac2g,51602,ac2g,122891,,6939565305304.958,s
7,ac2g,51604,ac2g,0,e,6939565305334.829,f
122891,ac2g,51604,ac2g,122891,,6939565305317.668,s
122891,ac2g,51629,ac2g,122891,e,6939565305406.168,f
122891,ac2g,51633,ac2g,122891,e,6939565305409.432,f
7,ac2g,51635,ac2g,0,e,6939565305427.34,f
122891,ac2g,51635,ac2g,122891,,6939565305415.562,s
7,ac2g,51645,ac2g,0,e,6939565305469.452,f
122891,ac2g,51645,ac2g,122891,,6939565305459.048,s
7,ac2g,51674,ac2g,0,e,6939565305596.236,f
122891,ac2g,51674,ac2g,122891,,6939565305584.851,s
122891,ac2g,51693,ac2g,122891,e,6939565305825.478,f
7,ac2g,51694,ac2g,0,e,6939565305850.156,f
122891,ac2g,51694,ac2g,122891,,6939565305836.206,s
7,ac2g,51696,ac2g,0,e,6939565305865.964,f
122891,ac2g,51696,ac2g,122891,,6939565305852.291,s
7,ac2g,51710,ac2g,0,e,6939565306038.444,f
122891,ac2g,51710,ac2g,122891,,6939565306022.653,s
122891,ac2g,51739,ac2g,122891,e,6939565306290.064,f
122891,ac2g,51744,ac2g,122891,e,6939565306296.879,f
122891,ac2g,51748,ac2g,122891,e,6939565306300.377,f
7,ac2g,51763,ac2g,0,e,6939565306361.323,f
122891,ac2g,51763,ac2g,122891,,6939565306347.95,s
122891,ac2g,51786,ac2g,122891,e,6939565306483.821,f
7,ac2g,51787,ac2g,0,e,6939565306500.491,f
122891,ac2g,51787,ac2g,122891,,6939565306487.873,s
7,ac2g,51789,ac2g,0,e,6939565306513.259,f
122891,ac2g,51789,ac2g,122891,,6939565306501.563,s
122891,ac2g,51814,ac2g,122891,e,6939565306638.835,f
122891,ac2g,51818,ac2g,122891,e,6939565306643.54,f
7,ac2g,51820,ac2g,0,e,6939565306666.187,f
122891,ac2g,51820,ac2g,122891,,6939565306652.774,s
7,ac2g,51830,ac2g,0,e,6939565306718.667,f
122891,ac2g,51830,ac2g,122891,,6939565306707.496,s
7,ac2g,51859,ac2g,0,e,6939565306841.45,f
122891,ac2g,51859,ac2g,122891,,6939565306829.879,s
122891,ac2g,51878,ac2g,122891,e,6939565306971.0,f
7,ac2g,51879,ac2g,0,e,6939565306987.978,f
122891,ac2g,51879,ac2g,122891,,6939565306975.24,s
7,ac2g,51890,ac2g,0,e,6939565307053.578,f
122891,ac2g,51890,ac2g,122891,,6939565307041.801,s
122891,ac2g,51917,ac2g,122891,e,6939565307143.682,f
122891,ac2g,51921,ac2g,122891,e,6939565307148.855,f
7,ac2g,51923,ac2g,0,e,6939565307169.45,f
122891,ac2g,51923,ac2g,122891,,6939565307156.622,s
7,ac2g,51942,ac2g,0,e,6939565307294.762,f
122891,ac2g,51942,ac2g,122891,,6939565307282.558,s
7,ac2g,51944,ac2g,0,e,6939565307312.586,f
122891,ac2g,51944,ac2g,122891,,6939565307295.533,s
122891,ac2g,51969,ac2g,122891,e,6939565307394.146,f
122891,ac2g,51973,ac2g,122891,e,6939565307398.121,f
7,ac2g,51975,ac2g,0,e,6939565307416.841,f
