tid,cat,id,name,pid,bp,ts,ph
4097061,ac2g,337,ac2g,4097061,e,6928969214901.621,f
4097061,ac2g,338,ac2g,4097061,e,6928969214903.617,f
7,ac2g,339,ac2g,0,e,6928969214913.547,f
4097061,ac2g,339,ac2g,4097061,,6928969214904.779,s
4097061,ac2g,341,ac2g,4097061,e,6928969214913.961,f
7,ac2g,348,ac2g,0,e,6928969214997.259,f
4097061,ac2g,348,ac2g,4097061,,6928969214986.912,s
4097061,ac2g,362,ac2g,4097061,e,6928969215078.376,f
4097061,ac2g,363,ac2g,4097061,e,6928969215081.393,f
4097061,ac2g,364,ac2g,4097061,e,6928969215082.572,f
4097061,ac2g,365,ac2g,4097061,e,6928969215083.509,f
4097061,ac2g,389,ac2g,4097061,e,6928969215125.144,f
4097061,ac2g,390,ac2g,4097061,e,6928969215126.708,f
4097061,ac2g,391,ac2g,4097061,e,6928969215127.582,f
4097061,ac2g,392,ac2g,4097061,e,6928969215128.313,f
7,ac2g,400,ac2g,0,e,6928969215153.227,f
4097061,ac2g,400,ac2g,4097061,,6928969215141.991,s
7,ac2g,407,ac2g,0,e,6928969215225.451,f
4097061,ac2g,407,ac2g,4097061,,6928969215215.249,s
4097061,ac2g,420,ac2g,4097061,e,6928969215314.404,f
4097061,ac2g,421,ac2g,4097061,e,6928969215316.906,f
4097061,ac2g,422,ac2g,4097061,e,6928969215317.903,f
4097061,ac2g,423,ac2g,4097061,e,6928969215318.779,f
7,ac2g,427,ac2g,0,e,6928969215351.306,f
4097061,ac2g,427,ac2g,4097061,,6928969215340.552,s
7,ac2g,429,ac2g,0,e,6928969215362.379,f
4097061,ac2g,429,ac2g,4097061,,6928969215352.968,s
4097061,ac2g,431,ac2g,4097061,e,6928969215365.478,f
4097061,ac2g,432,ac2g,4097061,e,6928969215371.853,f
4097061,ac2g,433,ac2g,4097061,e,6928969215373.883,f
7,ac2g,434,ac2g,0,e,6928969215383.818,f
4097061,ac2g,434,ac2g,4097061,,6928969215374.891,s
4097061,ac2g,436,ac2g,4097061,e,6928969215383.92,f
7,ac2g,443,ac2g,0,e,6928969215461.803,f
4097061,ac2g,443,ac2g,4097061,,6928969215450.958,s
4097061,ac2g,457,ac2g,4097061,e,6928969215539.419,f
4097061,ac2g,458,ac2g,4097061,e,6928969215542.369,f
4097061,ac2g,459,ac2g,4097061,e,6928969215543.359,f
4097061,ac2g,460,ac2g,4097061,e,6928969215544.276,f
4097061,ac2g,484,ac2g,4097061,e,6928969215589.148,f
4097061,ac2g,485,ac2g,4097061,e,6928969215590.627,f
4097061,ac2g,486,ac2g,4097061,e,6928969215591.321,f
4097061,ac2g,487,ac2g,4097061,e,6928969215591.909,f
7,ac2g,495,ac2g,0,e,6928969215615.466,f
4097061,ac2g,495,ac2g,4097061,,6928969215605.169,s
7,ac2g,501,ac2g,0,e,6928969215653.45,f
4097061,ac2g,501,ac2g,4097061,,6928969215643.951,s
7,ac2g,508,ac2g,0,e,6928969215703.306,f
4097061,ac2g,508,ac2g,4097061,,6928969215694.509,s
4097061,ac2g,519,ac2g,4097061,e,6928969215810.168,f
4097061,ac2g,520,ac2g,4097061,e,6928969215812.108,f
4097061,ac2g,525,ac2g,4097061,e,6928969216000.849,f
4097061,ac2g,526,ac2g,4097061,e,6928969216005.506,f
4097061,ac2g,527,ac2g,4097061,e,6928969216006.87,f
4097061,ac2g,528,ac2g,4097061,e,6928969216008.312,f
