Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
30,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::view,122891,5.732,16927,"["""", ""[10000]""]",,"[[10000, 1], []]","[[1, 10000], []]",6939565490113.943,,X
31,125589,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,122891,42.547,16928,,,,,6939565490168.334,,X
32,125589,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,122891,29.834,16929,"[""""]",,[[1]],[[10000]],6939565490174.472,,X
33,125589,cpu_op,0,"[""float""]",aten::detach,122891,14.585,16930,"[""""]",,[[1]],[[10000]],6939565490187.722,,X
34,125589,cpu_op,0,"[""float""]",detach,122891,9.282,16931,"[""""]",,[[1]],[[10000]],6939565490192.498,,X
35,125589,cpu_op,0,,autograd::engine::evaluate_function: TBackward0,122891,21.455,16932,,5214,,,6939565490221.395,1,X
36,125589,cpu_op,0,"[""float""]",TBackward0,122891,12.588,16933,"[""""]",5214,"[[1, 512]]","[[512, 10000]]",6939565490225.017,1,X
37,125589,cpu_op,0,"[""float""]",aten::t,122891,9.448,16934,"[""""]",,"[[1, 512]]","[[512, 10000]]",6939565490227.461,,X
38,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,5.325,16935,"["""", ""0"", ""1""]",,"[[1, 512], [], []]","[[512, 10000], [], []]",6939565490229.99,,X
39,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,1.261,16936,"["""", ""[10000, 512]"", ""[512, 1]"", """"]",,"[[1, 512], [], [], []]","[[512, 10000], [], [], []]",6939565490233.389,,X
40,125589,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,122891,15.608,16937,,,,,6939565490253.452,,X
41,125589,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,122891,8.356,16938,"[""""]",,"[[512, 1]]","[[10000, 512]]",6939565490257.832,,X
