ts,tid,pid,Ev Idx,dur,cat,ph,Input type,name,Input Strides,Fwd thread id,Concrete Inputs,Input Dims,Record function id,Sequence number,External id
6936340603432.687,60051,60051,19,287.218,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::hardtanh_,"[[3211264, 50176, 224, 1], [], []]",0,"["""", ""0."", ""6.""]","[[1, 64, 224, 224], [], []]",0,68,20
6936340603444.902,60051,60051,20,198.235,cpu_op,X,"[""float"", """"]",aten::clone,"[[3211264, 50176, 224, 1], []]",0,"["""", """"]","[[1, 64, 224, 224], []]",0,69,21
6936340603453.379,60051,60051,21,132.136,cpu_op,X,"[""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", """"]",aten::empty_strided,"[[], [], [], [], [], []]",,"[""[1, 64, 224, 224]"", ""[3211264, 50176, 224, 1]"", ""6"", ""0"", """", """"]","[[], [], [], [], [], []]",0,,22
6936340603597.112,60051,60051,22,42.041,cpu_op,X,"[""float"", ""float"", ""Scalar""]",aten::copy_,"[[3211264, 50176, 224, 1], [3211264, 50176, 224, 1], []]",,"["""", """", ""False""]","[[1, 64, 224, 224], [1, 64, 224, 224], []]",0,,23
6936340603656.885,60051,60051,23,49.879,cpu_op,X,"[""float"", ""Scalar"", ""Scalar"", ""float""]",aten::hardtanh,"[[3211264, 50176, 224, 1], [], [], [3211264, 50176, 224, 1]]",,"["""", ""0."", ""6."", """"]","[[1, 64, 224, 224], [], [], [1, 64, 224, 224]]",0,,24
6936340603670.733,60051,60051,24,34.196,cpu_op,X,"[""float"", ""Scalar"", ""Scalar"", ""float""]",aten::clamp,"[[3211264, 50176, 224, 1], [], [], [3211264, 50176, 224, 1]]",,"["""", ""0."", ""6."", """"]","[[1, 64, 224, 224], [], [], [1, 64, 224, 224]]",0,,25
6936340603674.812,60051,60051,25,1.126,cpu_op,X,"[""float"", ""Scalar"", ""Scalar"", ""Scalar"", """"]",aten::to,"[[3211264, 50176, 224, 1], [], [], [], []]",,"["""", ""6"", ""False"", ""False"", """"]","[[1, 64, 224, 224], [], [], [], []]",0,,26
6936340603785.42,60051,60051,26,316.779,cpu_op,X,"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar""]",aten::conv2d,"[[3211264, 50176, 224, 1], [576, 9, 3, 1], [1], [], [], [], []]",0,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""1""]","[[1, 64, 224, 224], [64, 64, 3, 3], [64], [], [], [], []]",0,70,27
6936340603790.243,60051,60051,27,310.714,cpu_op,X,"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar""]",aten::convolution,"[[3211264, 50176, 224, 1], [576, 9, 3, 1], [1], [], [], [], [], [], []]",0,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1""]","[[1, 64, 224, 224], [64, 64, 3, 3], [64], [], [], [], [], [], []]",0,70,28
6936340603801.678,60051,60051,28,294.827,cpu_op,X,"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::_convolution,"[[3211264, 50176, 224, 1], [576, 9, 3, 1], [1], [], [], [], [], [], [], [], [], [], []]",,"["""", """", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1"", ""False"", ""False"", ""True"", ""True""]","[[1, 64, 224, 224], [64, 64, 3, 3], [64], [], [], [], [], [], [], [], [], [], []]",0,,29
6936340603810.362,60051,60051,29,242.312,cpu_op,X,"[""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::cudnn_convolution,"[[3211264, 50176, 224, 1], [576, 9, 3, 1], [], [], [], [], [], [], []]",,"["""", """", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""1"", ""False"", ""False"", ""True""]","[[1, 64, 224, 224], [64, 64, 3, 3], [], [], [], [], [], [], []]",0,,30
6936340604061.494,60051,60051,30,5.789,cpu_op,X,"[""float"", ""ScalarList""]",aten::reshape,"[[1], []]",,"["""", ""[1, -1, 1, 1]""]","[[64], []]",0,,31
6936340604063.53,60051,60051,31,3.311,cpu_op,X,"[""float"", ""ScalarList""]",aten::view,"[[1], []]",,"["""", ""[1, -1, 1, 1]""]","[[64], []]",0,,32
6936340604069.563,60051,60051,32,25.275,cpu_op,X,"[""float"", ""float"", ""Scalar""]",aten::add_,"[[3211264, 50176, 224, 1], [64, 1, 1, 1], []]",,"["""", """", ""1""]","[[1, 64, 224, 224], [1, 64, 1, 1], []]",0,,33
6936340604160.472,60051,60051,33,23.479,cpu_op,X,"[""long int"", ""long int"", ""Scalar""]",aten::add_,"[[], [], []]",0,"["""", """", ""1""]","[[], [], []]",0,71,34
6936340604218.649,60051,60051,34,262.863,cpu_op,X,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::batch_norm,"[[3211264, 50176, 224, 1], [1], [1], [1], [1], [], [], [], []]",0,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]","[[1, 64, 224, 224], [64], [64], [64], [64], [], [], [], []]",0,71,35
6936340604221.633,60051,60051,35,259.177,cpu_op,X,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::_batch_norm_impl_index,"[[3211264, 50176, 224, 1], [1], [1], [1], [1], [], [], [], []]",0,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05"", ""True""]","[[1, 64, 224, 224], [64], [64], [64], [64], [], [], [], []]",0,71,36
6936340604227.003,60051,60051,36,252.683,cpu_op,X,"[""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""Scalar"", ""Scalar""]",aten::cudnn_batch_norm,"[[3211264, 50176, 224, 1], [1], [1], [1], [1], [], [], []]",0,"["""", """", """", """", """", ""True"", ""0.10000000000000001"", ""1.0000000000000001e-05""]","[[1, 64, 224, 224], [64], [64], [64], [64], [], [], []]",0,71,37
6936340604243.546,60051,60051,37,141.523,cpu_op,X,"[""float"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty_like,"[[3211264, 50176, 224, 1], [], [], [], [], []]",,"["""", ""6"", ""0"", """", """", ""0""]","[[1, 64, 224, 224], [], [], [], [], []]",0,,38
6936340604248.079,60051,60051,38,134.722,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[1, 64, 224, 224]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,39
6936340604405.244,60051,60051,39,2.382,cpu_op,X,"[""float"", ""ScalarList""]",aten::view,"[[1], []]",,"["""", ""[1, 64, 1, 1]""]","[[64], []]",0,,40
6936340604412.031,60051,60051,40,7.952,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[64]"", ""6"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,41
6936340604422.508,60051,60051,41,6.051,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[64]"", ""6"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,42
6936340604432.02,60051,60051,42,4.558,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[0]"", ""0"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,43
6936340604445.934,60051,60051,43,5.222,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[0]"", ""0"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,44
6936340604519.902,60051,60051,44,230.095,cpu_op,X,"[""float"", ""Scalar"", ""Scalar""]",aten::hardtanh_,"[[3211264, 50176, 224, 1], [], []]",0,"["""", ""0."", ""6.""]","[[1, 64, 224, 224], [], []]",0,72,45
6936340604524.463,60051,60051,45,179.372,cpu_op,X,"[""float"", """"]",aten::clone,"[[3211264, 50176, 224, 1], []]",0,"["""", """"]","[[1, 64, 224, 224], []]",0,73,46
6936340604531.261,60051,60051,46,131.553,cpu_op,X,"[""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", """"]",aten::empty_strided,"[[], [], [], [], [], []]",,"[""[1, 64, 224, 224]"", ""[3211264, 50176, 224, 1]"", ""6"", ""0"", """", """"]","[[], [], [], [], [], []]",0,,47
