tid,cat,memory bandwidth (GB/s),name,device,pid,dur,External id,stream,context,bytes,correlation,ts,ph
7,gpu_memset,0.42332613390928725,Memset (Device),0,0,0.928,82,7,1,784,405,6940680654157.127,X
7,gpu_memset,0.22371364653243847,Memset (Device),0,0,0.896,134,7,1,400,659,6940680654489.644,X
7,gpu_memset,0.4179728317659352,Memset (Device),0,0,0.479,159,7,1,400,776,6940680654628.078,X
7,gpu_memset,0.1336116910229645,Memset (Device),0,0,0.48,263,7,1,128,1287,6940680656688.65,X
7,gpu_memset,0.07158836689038031,Memset (Device),0,0,0.896,288,7,1,128,1412,6940680659134.732,X
7,gpu_memset,0.07424593967517401,Memset (Device),0,0,0.864,313,7,1,128,1537,6940680659235.15,X
