ts,tid,pid,dur,cat,ph,name,External id
6936341002145.579,7,0,5591.839,gpu_user_annotation,X,Optimizer.step#SGD.step,2055
6936340956302.923,7,0,1.346,gpu_user_annotation,X,ProfilerStep#0,2049
