tid,cat,id,name,pid,bp,ts,ph
36890,ac2g,2868,ac2g,30902,,6935384739624.894,s
30,ac2g,2869,ac2g,0,e,6935384816557.714,f
36890,ac2g,2869,ac2g,30902,,6935384739625.259,s
30,ac2g,2870,ac2g,0,e,6935384819603.957,f
36890,ac2g,2870,ac2g,30902,,6935384739631.377,s
30,ac2g,2872,ac2g,0,e,6935384819610.709,f
36890,ac2g,2872,ac2g,30902,,6935384739639.33,s
36890,ac2g,2880,ac2g,30902,e,6935384739650.542,f
36890,ac2g,2883,ac2g,30902,,6935384739652.014,s
30,ac2g,2884,ac2g,0,e,6935384821293.75,f
36890,ac2g,2884,ac2g,30902,,6935384739652.373,s
30,ac2g,2885,ac2g,0,e,6935384822774.327,f
36890,ac2g,2885,ac2g,30902,,6935384739658.125,s
30,ac2g,2887,ac2g,0,e,6935384822779.832,f
36890,ac2g,2887,ac2g,30902,,6935384739663.309,s
30,ac2g,2892,ac2g,0,e,6935384824727.418,f
36890,ac2g,2892,ac2g,30902,,6935384739675.357,s
36890,ac2g,2894,ac2g,30902,e,6935384739683.266,f
36890,ac2g,2895,ac2g,30902,e,6935384739684.997,f
36890,ac2g,2896,ac2g,30902,e,6935384739685.811,f
36890,ac2g,2897,ac2g,30902,e,6935384739686.426,f
36890,ac2g,2898,ac2g,30902,e,6935384739687.403,f
36890,ac2g,2899,ac2g,30902,,6935384739688.32,s
36890,ac2g,2900,ac2g,30902,e,6935384739689.876,f
36890,ac2g,2901,ac2g,30902,,6935384739690.584,s
36890,ac2g,2902,ac2g,30902,e,6935384739691.775,f
36890,ac2g,2903,ac2g,30902,,6935384739692.457,s
36890,ac2g,2904,ac2g,30902,e,6935384739693.457,f
36890,ac2g,2905,ac2g,30902,,6935384739694.143,s
36890,ac2g,2909,ac2g,30902,e,6935384739766.764,f
36890,ac2g,2910,ac2g,30902,e,6935384739768.342,f
36890,ac2g,2911,ac2g,30902,e,6935384739768.935,f
36890,ac2g,2912,ac2g,30902,e,6935384739769.502,f
7,ac2g,2922,ac2g,0,e,6935384825589.594,f
36890,ac2g,2922,ac2g,30902,,6935384739816.779,s
7,ac2g,2937,ac2g,0,e,6935384825636.954,f
36890,ac2g,2937,ac2g,30902,,6935384739854.063,s
36890,ac2g,2986,ac2g,30902,e,6935384740787.651,f
36890,ac2g,2987,ac2g,30902,,6935384740789.393,s
36890,ac2g,2988,ac2g,30902,,6935384740790.981,s
36890,ac2g,2989,ac2g,30902,,6935384740791.824,s
36890,ac2g,2990,ac2g,30902,,6935384740792.564,s
36890,ac2g,2991,ac2g,30902,e,6935384740793.405,f
36890,ac2g,2992,ac2g,30902,,6935384740796.423,s
36890,ac2g,2993,ac2g,30902,,6935384740798.46,s
36890,ac2g,2994,ac2g,30902,,6935384740800.484,s
36890,ac2g,2995,ac2g,30902,,6935384740802.793,s
36890,ac2g,2996,ac2g,30902,e,6935384740803.828,f
