Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
213,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.952,1238,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619243.969,,X
214,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.147,1239,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619245.489,,X
215,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.71,1240,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619247.478,,X
216,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.151,1241,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619248.753,,X
217,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.631,1242,"["""", """", """"]",,"[[1, 1], [50, 1], []]","[[10000, 1], [200, 50], []]",6935384619250.57,,X
218,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.217,1243,"["""", ""[200, 50]"", """"]",,"[[1, 1], [], []]","[[10000, 1], [], []]",6935384619251.704,,X
219,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.677,1244,"["""", """", """"]",,"[[1, 1], [50, 1], []]","[[10000, 1], [200, 50], []]",6935384619253.85,,X
220,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.212,1245,"["""", ""[200, 50]"", """"]",,"[[1, 1], [], []]","[[10000, 1], [], []]",6935384619255.032,,X
221,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.852,1246,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619257.02,,X
222,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.146,1247,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619258.442,,X
223,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.804,1248,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619260.111,,X
224,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.144,1249,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619261.485,,X
225,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,2.236,1250,"["""", """", """"]",,"[[1, 1], [50, 1], []]","[[10000, 1], [200, 50], []]",6935384619263.451,,X
226,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.213,1251,"["""", ""[200, 50]"", """"]",,"[[1, 1], [], []]","[[10000, 1], [], []]",6935384619265.193,,X
227,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,2.015,1252,"["""", """", """"]",,"[[1, 1], [50, 1], []]","[[10000, 1], [200, 50], []]",6935384619267.029,,X
228,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.212,1253,"["""", ""[200, 50]"", """"]",,"[[1, 1], [], []]","[[10000, 1], [], []]",6935384619268.549,,X
229,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.598,1254,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619270.499,,X
230,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.146,1255,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619271.666,,X
231,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.728,1256,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619273.479,,X
232,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.166,1257,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619274.757,,X
233,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.816,1258,"["""", """", """"]",,"[[1, 1], [50, 1], []]","[[10000, 1], [200, 50], []]",6935384619276.645,,X
234,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.215,1259,"["""", ""[200, 50]"", """"]",,"[[1, 1], [], []]","[[10000, 1], [], []]",6935384619277.965,,X
235,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.597,1260,"["""", """", """"]",,"[[1, 1], [50, 1], []]","[[10000, 1], [200, 50], []]",6935384619279.626,,X
236,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.212,1261,"["""", ""[200, 50]"", """"]",,"[[1, 1], [], []]","[[10000, 1], [], []]",6935384619280.73,,X
