tid,cat,memory bandwidth (GB/s),name,device,pid,dur,External id,stream,context,bytes,correlation,ts,ph
7,gpu_memcpy,5.3090297748086535,Memcpy HtoD (Pageable -> Device),0,0,56.64,9,7,1,600000,11,6935384396700.799,X
7,gpu_memcpy,5.53087148098302,Memcpy HtoD (Pageable -> Device),0,0,54.368,17,7,1,600000,25,6935384397178.879,X
