ts,tid,pid,dur,cat,ph,name,External id
6935384396700.798,7,0,54449.663,gpu_user_annotation,X,ProfilerStep#1,1
6935384401307.392,14,0,49836.35,gpu_user_annotation,X,ProfilerStep#1,1
