ts,tid,pid,dur,cat,ph,name,External id
6928969587300.119,7,0,254.37,gpu_user_annotation,X,Optimizer.step#SGD.step,2055
6928969541349.88,7,0,1.314,gpu_user_annotation,X,ProfilerStep#0,2049
