ts,tid,pid,cat,ph,bp,name,id
6928969543878.102,7,0,ac2g,f,e,ac2g,12180
6928969543867.343,4097251,4097061,ac2g,s,,ac2g,12180
6928969543973.227,4097251,4097061,ac2g,f,e,ac2g,12216
6928969543976.02,4097251,4097061,ac2g,f,e,ac2g,12217
6928969543977.187,4097251,4097061,ac2g,f,e,ac2g,12218
6928969543978.282,4097251,4097061,ac2g,f,e,ac2g,12219
6928969544004.563,4097251,4097061,ac2g,f,e,ac2g,12227
6928969544019.03,7,0,ac2g,f,e,ac2g,12228
6928969544007.808,4097251,4097061,ac2g,s,,ac2g,12228
6928969544135.86,4097251,4097061,ac2g,f,e,ac2g,12252
6928969544138.419,4097251,4097061,ac2g,f,e,ac2g,12253
6928969544139.492,4097251,4097061,ac2g,f,e,ac2g,12254
6928969544140.493,4097251,4097061,ac2g,f,e,ac2g,12255
6928969544170.805,7,0,ac2g,f,e,ac2g,12259
6928969544159.203,4097251,4097061,ac2g,s,,ac2g,12259
6928969544183.445,7,0,ac2g,f,e,ac2g,12261
6928969544172.807,4097251,4097061,ac2g,s,,ac2g,12261
6928969544187.098,4097251,4097061,ac2g,f,e,ac2g,12263
6928969544190.139,4097251,4097061,ac2g,f,e,ac2g,12264
6928969544201.429,7,0,ac2g,f,e,ac2g,12265
6928969544191.918,4097251,4097061,ac2g,s,,ac2g,12265
6928969544202.24,4097251,4097061,ac2g,f,e,ac2g,12268
6928969544214.581,7,0,ac2g,f,e,ac2g,12269
6928969544204.631,4097251,4097061,ac2g,s,,ac2g,12269
6928969544235.991,4097251,4097061,ac2g,f,e,ac2g,12282
6928969544238.289,4097251,4097061,ac2g,f,e,ac2g,12283
6928969544239.257,4097251,4097061,ac2g,f,e,ac2g,12284
6928969544240.042,4097251,4097061,ac2g,f,e,ac2g,12285
6928969544261.941,7,0,ac2g,f,e,ac2g,12289
6928969544253.114,4097251,4097061,ac2g,s,,ac2g,12289
6928969544271.125,7,0,ac2g,f,e,ac2g,12291
6928969544263.253,4097251,4097061,ac2g,s,,ac2g,12291
6928969544287.125,7,0,ac2g,f,e,ac2g,12293
6928969544275.931,4097251,4097061,ac2g,s,,ac2g,12293
6928969544286.427,4097251,4097061,ac2g,f,e,ac2g,12294
6928969544288.67,4097251,4097061,ac2g,f,e,ac2g,12295
6928969544299.701,7,0,ac2g,f,e,ac2g,12296
6928969544290.061,4097251,4097061,ac2g,s,,ac2g,12296
6928969544299.934,4097251,4097061,ac2g,f,e,ac2g,12299
6928969544411.13,4097251,4097061,ac2g,f,e,ac2g,12336
6928969544413.631,4097251,4097061,ac2g,f,e,ac2g,12337
6928969544414.665,4097251,4097061,ac2g,f,e,ac2g,12338
6928969544415.654,4097251,4097061,ac2g,f,e,ac2g,12339
6928969544439.665,4097251,4097061,ac2g,f,e,ac2g,12347
6928969544453.429,7,0,ac2g,f,e,ac2g,12348
6928969544442.399,4097251,4097061,ac2g,s,,ac2g,12348
6928969544567.681,4097251,4097061,ac2g,f,e,ac2g,12372
6928969544570.23,4097251,4097061,ac2g,f,e,ac2g,12373
6928969544571.29,4097251,4097061,ac2g,f,e,ac2g,12374
6928969544572.29,4097251,4097061,ac2g,f,e,ac2g,12375
6928969544598.709,7,0,ac2g,f,e,ac2g,12379
6928969544587.4,4097251,4097061,ac2g,s,,ac2g,12379
6928969544633.045,7,0,ac2g,f,e,ac2g,12381
6928969544600.578,4097251,4097061,ac2g,s,,ac2g,12381
6928969544613.401,4097251,4097061,ac2g,f,e,ac2g,12383
6928969544638.356,7,0,ac2g,f,e,ac2g,12384
6928969544614.943,4097251,4097061,ac2g,s,,ac2g,12384
6928969544624.743,4097251,4097061,ac2g,f,e,ac2g,12385
6928969544626.815,4097251,4097061,ac2g,f,e,ac2g,12386
6928969544639.861,7,0,ac2g,f,e,ac2g,12387
6928969544628.079,4097251,4097061,ac2g,s,,ac2g,12387
6928969544637.422,4097251,4097061,ac2g,f,e,ac2g,12389
6928969544684.245,7,0,ac2g,f,e,ac2g,12390
6928969544640.106,4097251,4097061,ac2g,s,,ac2g,12390
6928969544670.976,4097251,4097061,ac2g,f,e,ac2g,12403
6928969544673.248,4097251,4097061,ac2g,f,e,ac2g,12404
