Ev Idx,tid,cat,Record function id,name,pid,dur,External id,ts,ph
630,4097061,user_annotation,0,ProfilerStep#0,4097061,40.173,2049,6928969587968.061,X
631,4097061,user_annotation,0,Optimizer.zero_grad#SGD.zero_grad,4097061,343.414,2050,6928969537879.738,X
636,4097061,user_annotation,0,Optimizer.step#SGD.step,4097061,35061.503,2055,6928969552821.939,X
