ts,tid,pid,Ev Idx,dur,cat,ph,Input type,name,Input Strides,Fwd thread id,Concrete Inputs,Input Dims,Record function id,Sequence number,External id
6928969552289.886,4097251,4097061,609,6.432,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[64]"", ""6"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,3170
6928969552298.516,4097251,4097061,610,6.112,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[64]"", ""6"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,3171
6928969552319.41,4097251,4097061,611,2.167,cpu_op,X,"[""float"", ""ScalarList""]",aten::view,"[[1], []]",,"["""", ""[1, 64, 1, 1]""]","[[64], []]",0,,3172
6928969552326.021,4097251,4097061,612,5.439,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[0]"", ""0"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,3173
6928969552378.308,4097251,4097061,613,13.869,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,3174
6928969552382.445,4097251,4097061,614,7.373,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,[[1]],,"[""""]",[[64]],0,,3175
6928969552384.877,4097251,4097061,615,4.368,cpu_op,X,"[""float""]",aten::detach,[[1]],,"[""""]",[[64]],0,,3176
6928969552386.221,4097251,4097061,616,2.627,cpu_op,X,"[""float""]",detach,[[1]],,"[""""]",[[64]],0,,3177
6928969552400.397,4097251,4097061,617,11.158,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,3178
6928969552404.001,4097251,4097061,618,5.169,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,[[1]],,"[""""]",[[64]],0,,3179
6928969552405.669,4097251,4097061,619,2.98,cpu_op,X,"[""float""]",aten::detach,[[1]],,"[""""]",[[64]],0,,3180
6928969552406.779,4097251,4097061,620,1.482,cpu_op,X,"[""float""]",detach,[[1]],,"[""""]",[[64]],0,,3181
6928969552419.076,4097251,4097061,621,98.697,cpu_op,X,,autograd::engine::evaluate_function: ConvolutionBackward0,,1,,,0,211,3182
6928969552422.02,4097251,4097061,622,89.662,cpu_op,X,"[""float""]",ConvolutionBackward0,"[[802816, 12544, 112, 1]]",1,"[""""]","[[5, 64, 112, 112]]",0,211,3183
6928969552429.949,4097251,4097061,623,80.513,cpu_op,X,"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar"", ""ScalarList""]",aten::convolution_backward,"[[802816, 12544, 112, 1], [150528, 50176, 224, 1], [147, 49, 7, 1], [], [], [], [], [], [], [], []]",,"["""", """", """", ""[0]"", ""[2, 2]"", ""[3, 3]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1"", ""[False, True, False]""]","[[5, 64, 112, 112], [5, 3, 224, 224], [64, 3, 7, 7], [], [], [], [], [], [], [], []]",0,,3184
6928969552440.029,4097251,4097061,624,1.096,cpu_op,X,"[""float"", """", """", """", """", ""Scalar"", ""Scalar"", ""Scalar""]",aten::to,"[[802816, 12544, 112, 1], [], [], [], [], [], [], []]",,"["""", """", """", """", """", ""False"", ""False"", ""0""]","[[5, 64, 112, 112], [], [], [], [], [], [], []]",0,,3185
6928969552444.324,4097251,4097061,625,8.367,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[64, 3, 7, 7]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,3186
6928969552530.188,4097251,4097061,626,13.82,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,3187
6928969552534.505,4097251,4097061,627,7.052,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,"[[147, 49, 7, 1]]",,"[""""]","[[64, 3, 7, 7]]",0,,3188
6928969552537.068,4097251,4097061,628,3.942,cpu_op,X,"[""float""]",aten::detach,"[[147, 49, 7, 1]]",,"[""""]","[[64, 3, 7, 7]]",0,,3189
6928969552538.385,4097251,4097061,629,2.2,cpu_op,X,"[""float""]",detach,"[[147, 49, 7, 1]]",,"[""""]","[[64, 3, 7, 7]]",0,,3190
6928969538340.357,4097061,4097061,632,3019.12,cpu_op,X,"[""float"", """", """", """", ""Scalar"", ""Scalar""]",aten::ones_like,"[[], [], [], [], [], []]",,"["""", """", """", """", ""False"", ""1""]","[[], [], [], [], [], []]",0,,2051
6928969538345.333,4097061,4097061,633,2938.185,cpu_op,X,"[""float"", """", """", """", ""Scalar"", ""Scalar""]",aten::empty_like,"[[], [], [], [], [], []]",,"["""", """", """", """", ""False"", ""1""]","[[], [], [], [], [], []]",0,,2052
6928969538358.256,4097061,4097061,634,2920.307,cpu_op,X,"[""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", ""Scalar""]",aten::empty_strided,"[[], [], [], [], [], []]",,"[""[]"", ""[]"", ""6"", ""0"", """", ""False""]","[[], [], [], [], [], []]",0,,2053
6928969541293.16,4097061,4097061,635,65.351,cpu_op,X,"[""float"", ""Scalar""]",aten::fill_,"[[], []]",,"["""", ""1.""]","[[], []]",0,,2054
6928969553995.64,4097061,4097061,637,33397.41,cpu_op,X,"[""TensorList"", ""TensorList"", ""Scalar""]",aten::_foreach_add_,"[[], [], []]",,"["""", """", ""-0.01""]","[[], [], []]",0,,2056
6928969554136.343,4097061,4097061,638,3.679,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[147, 49, 7, 1], []]",,"["""", ""-0.01""]","[[64, 3, 7, 7], []]",0,,2057
6928969554145.2,4097061,4097061,639,0.326,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[64], []]",0,,2058
6928969554147.91,4097061,4097061,640,0.272,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[64], []]",0,,2059
6928969554150.441,4097061,4097061,641,0.271,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[576, 9, 3, 1], []]",,"["""", ""-0.01""]","[[64, 64, 3, 3], []]",0,,2060
6928969554153.053,4097061,4097061,642,0.266,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[64], []]",0,,2061
6928969554155.499,4097061,4097061,643,0.275,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[64], []]",0,,2062
6928969554158.014,4097061,4097061,644,0.26,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[576, 9, 3, 1], []]",,"["""", ""-0.01""]","[[64, 64, 3, 3], []]",0,,2063
6928969554160.766,4097061,4097061,645,0.26,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[64], []]",0,,2064
6928969554164.064,4097061,4097061,646,0.28,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[64], []]",0,,2065
6928969554166.871,4097061,4097061,647,0.27,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[576, 9, 3, 1], []]",,"["""", ""-0.01""]","[[64, 64, 3, 3], []]",0,,2066
6928969554169.581,4097061,4097061,648,0.256,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[64], []]",0,,2067
6928969554172.162,4097061,4097061,649,0.255,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[64], []]",0,,2068
6928969554174.859,4097061,4097061,650,0.26,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[576, 9, 3, 1], []]",,"["""", ""-0.01""]","[[64, 64, 3, 3], []]",0,,2069
6928969554177.651,4097061,4097061,651,0.254,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[64], []]",0,,2070
6928969554180.217,4097061,4097061,652,0.259,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[64], []]",0,,2071
6928969554182.923,4097061,4097061,653,0.251,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[576, 9, 3, 1], []]",,"["""", ""-0.01""]","[[128, 64, 3, 3], []]",0,,2072
6928969554186.241,4097061,4097061,654,0.26,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[128], []]",0,,2073
6928969554188.966,4097061,4097061,655,0.257,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[128], []]",0,,2074
6928969554191.658,4097061,4097061,656,0.26,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1152, 9, 3, 1], []]",,"["""", ""-0.01""]","[[128, 128, 3, 3], []]",0,,2075
6928969554194.324,4097061,4097061,657,0.3,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[128], []]",0,,2076
6928969554196.955,4097061,4097061,658,0.246,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[128], []]",0,,2077
6928969554199.853,4097061,4097061,659,0.25,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[64, 1, 1, 1], []]",,"["""", ""-0.01""]","[[128, 64, 1, 1], []]",0,,2078
6928969554202.374,4097061,4097061,660,0.245,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[128], []]",0,,2079
6928969554205.015,4097061,4097061,661,0.249,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[128], []]",0,,2080
6928969554207.766,4097061,4097061,662,0.25,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1152, 9, 3, 1], []]",,"["""", ""-0.01""]","[[128, 128, 3, 3], []]",0,,2081
6928969554210.392,4097061,4097061,663,0.246,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[128], []]",0,,2082
6928969554213.079,4097061,4097061,664,0.245,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[128], []]",0,,2083
6928969554215.709,4097061,4097061,665,0.246,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1152, 9, 3, 1], []]",,"["""", ""-0.01""]","[[128, 128, 3, 3], []]",0,,2084
6928969554218.346,4097061,4097061,666,0.249,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[128], []]",0,,2085
6928969554220.986,4097061,4097061,667,0.247,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[128], []]",0,,2086
6928969554223.552,4097061,4097061,668,0.247,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1152, 9, 3, 1], []]",,"["""", ""-0.01""]","[[256, 128, 3, 3], []]",0,,2087
6928969554226.168,4097061,4097061,669,0.247,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[256], []]",0,,2088
6928969554228.795,4097061,4097061,670,0.25,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[256], []]",0,,2089
6928969554231.486,4097061,4097061,671,0.246,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[2304, 9, 3, 1], []]",,"["""", ""-0.01""]","[[256, 256, 3, 3], []]",0,,2090
6928969554234.007,4097061,4097061,672,0.246,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[256], []]",0,,2091
6928969554236.593,4097061,4097061,673,0.25,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[256], []]",0,,2092
6928969554239.163,4097061,4097061,674,0.247,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[128, 1, 1, 1], []]",,"["""", ""-0.01""]","[[256, 128, 1, 1], []]",0,,2093
6928969554241.746,4097061,4097061,675,0.245,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[256], []]",0,,2094
6928969554244.286,4097061,4097061,676,0.25,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[256], []]",0,,2095
6928969554246.923,4097061,4097061,677,0.249,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[2304, 9, 3, 1], []]",,"["""", ""-0.01""]","[[256, 256, 3, 3], []]",0,,2096
6928969554249.423,4097061,4097061,678,0.245,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[256], []]",0,,2097
6928969554251.999,4097061,4097061,679,0.251,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[256], []]",0,,2098
6928969554254.671,4097061,4097061,680,0.249,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[2304, 9, 3, 1], []]",,"["""", ""-0.01""]","[[256, 256, 3, 3], []]",0,,2099
6928969554257.257,4097061,4097061,681,0.249,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[256], []]",0,,2100
6928969554259.772,4097061,4097061,682,0.246,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[256], []]",0,,2101
6928969554262.408,4097061,4097061,683,0.246,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[2304, 9, 3, 1], []]",,"["""", ""-0.01""]","[[512, 256, 3, 3], []]",0,,2102
6928969554264.909,4097061,4097061,684,0.246,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[512], []]",0,,2103
6928969554267.495,4097061,4097061,685,0.246,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[512], []]",0,,2104
6928969554270.151,4097061,4097061,686,0.246,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[4608, 9, 3, 1], []]",,"["""", ""-0.01""]","[[512, 512, 3, 3], []]",0,,2105
6928969554272.738,4097061,4097061,687,0.25,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[512], []]",0,,2106
6928969554275.294,4097061,4097061,688,0.25,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[512], []]",0,,2107
6928969554277.92,4097061,4097061,689,0.25,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[256, 1, 1, 1], []]",,"["""", ""-0.01""]","[[512, 256, 1, 1], []]",0,,2108
6928969554280.425,4097061,4097061,690,0.246,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[512], []]",0,,2109
6928969554283.278,4097061,4097061,691,0.249,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[512], []]",0,,2110
6928969554286.029,4097061,4097061,692,0.25,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[4608, 9, 3, 1], []]",,"["""", ""-0.01""]","[[512, 512, 3, 3], []]",0,,2111
6928969554288.754,4097061,4097061,693,0.247,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[512], []]",0,,2112
6928969554291.437,4097061,4097061,694,0.249,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[512], []]",0,,2113
6928969554294.207,4097061,4097061,695,0.247,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[4608, 9, 3, 1], []]",,"["""", ""-0.01""]","[[512, 512, 3, 3], []]",0,,2114
6928969554296.784,4097061,4097061,696,0.251,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[512], []]",0,,2115
6928969554299.59,4097061,4097061,697,0.251,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[512], []]",0,,2116
6928969554302.357,4097061,4097061,698,0.251,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[512, 1], []]",,"["""", ""-0.01""]","[[1000, 512], []]",0,,2117
6928969554305.448,4097061,4097061,699,0.247,cpu_op,X,"[""float"", ""Scalar""]",aten::result_type,"[[1], []]",,"["""", ""-0.01""]","[[1000], []]",0,,2118
