tid,cat,memory bandwidth (GB/s),name,device,pid,dur,External id,stream,context,bytes,correlation,ts,ph
7,gpu_memset,0.314859437751004,Memset (Device),0,0,1.248,82,7,1,784,373,6083647121558.536,X
7,gpu_memset,0.22371364653243847,Memset (Device),0,0,0.897,134,7,1,400,619,6083647121908.583,X
7,gpu_memset,0.22371364653243847,Memset (Device),0,0,0.896,159,7,1,400,736,6083647122053.671,X
7,gpu_memset,0.12524461839530332,Memset (Device),0,0,0.512,263,7,1,128,1243,6083647122665.734,X
7,gpu_memset,0.07424593967517401,Memset (Device),0,0,0.864,288,7,1,128,1364,6083647127364.285,X
7,gpu_memset,0.07158836689038031,Memset (Device),0,0,0.896,313,7,1,128,1485,6083647127467.709,X
