ts,tid,pid,Ev Idx,dur,cat,ph,Input type,name,Input Strides,Fwd thread id,Concrete Inputs,Input Dims,Record function id,Sequence number,External id
6936340866631.491,60237,60051,332,55.188,cpu_op,X,"[""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""long int""]",aten::max_pool2d_with_indices_backward,"[[200704, 784, 28, 1], [802816, 3136, 56, 1], [], [], [], [], [], [200704, 784, 28, 1]]",,"["""", """", ""[2, 2]"", ""[2, 2]"", ""[0, 0]"", ""[1, 1]"", ""False"", """"]","[[1, 256, 28, 28], [1, 256, 56, 56], [], [], [], [], [], [1, 256, 28, 28]]",0,,1357
6936340866647.455,60237,60051,333,25.723,cpu_op,X,"[""float""]",aten::zero_,"[[802816, 3136, 56, 1]]",,"[""""]","[[1, 256, 56, 56]]",0,,1358
6936340866651.549,60237,60051,334,19.648,cpu_op,X,"[""float"", ""Scalar""]",aten::fill_,"[[802816, 3136, 56, 1], []]",,"["""", ""0""]","[[1, 256, 56, 56], []]",0,,1359
6936340866707.485,60237,60051,335,42.899,cpu_op,X,,autograd::engine::evaluate_function: HardtanhBackward0,,1,,,0,160,1360
6936340866710.446,60237,60051,336,32.499,cpu_op,X,"[""float""]",HardtanhBackward0,"[[802816, 3136, 56, 1]]",1,"[""""]","[[1, 256, 56, 56]]",0,160,1361
6936340866713.11,60237,60051,337,29.163,cpu_op,X,"[""float"", ""float"", ""Scalar"", ""Scalar""]",aten::hardtanh_backward,"[[802816, 3136, 56, 1], [802816, 3136, 56, 1], [], []]",,"["""", """", ""0."", ""6.""]","[[1, 256, 56, 56], [1, 256, 56, 56], [], []]",0,,1362
6936340866719.748,60237,60051,338,7.696,cpu_op,X,"[""ScalarList"", ""Scalar"", """", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[1, 256, 56, 56]"", ""6"", """", """", """", ""0""]","[[], [], [], [], [], []]",0,,1363
6936340866759.015,60237,60051,339,103.602,cpu_op,X,,autograd::engine::evaluate_function: CudnnBatchNormBackward0,,1,,,0,159,1364
6936340866762.049,60237,60051,340,87.594,cpu_op,X,"[""float""]",CudnnBatchNormBackward0,"[[802816, 3136, 56, 1]]",1,"[""""]","[[1, 256, 56, 56]]",0,159,1365
6936340866767.577,60237,60051,341,80.828,cpu_op,X,"[""float"", ""float"", ""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""unsigned char""]",aten::cudnn_batch_norm_backward,"[[802816, 3136, 56, 1], [802816, 3136, 56, 1], [1], [1], [1], [1], [1], [], [1]]",,"["""", """", """", """", """", """", """", ""1.0000000000000001e-05"", """"]","[[1, 256, 56, 56], [1, 256, 56, 56], [256], [256], [256], [256], [256], [], [0]]",0,,1366
6936340866777.233,60237,60051,342,6.635,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[1, 256, 56, 56]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,1367
